Date,Type,Action,Symbol,Instrument_Type,Description,Value,Quantity,Average_Price,Commissions,Fees,Multiplier,Underlying_Symbol,Expiration_Date,Strike_Price,Call_or_Put,Order_nr
2021-02-05T14:21:11-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 5 SPX 12/17/21 Call 4300.00 @ 99.65,"49,825.00",5,"9,965.00",0.0,-3.94,100,SPX,12/17/21,4300.0,CALL,129091500
2021-02-05T14:19:00-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 10 SPX 12/17/21 Call 4300.00 @ 99.89,"99,890.00",10,"9,989.00",0.0,-7.88,100,SPX,12/17/21,4300.0,CALL,129090218
2021-02-05T13:49:51-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 5 SPX 12/17/21 Call 4300.00 @ 99.96,"49,980.00",5,"9,996.00",0.0,-3.94,100,SPX,12/17/21,4300.0,CALL,129072704
2021-02-02T12:02:18-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 6 SPX 12/17/21 Call 4300.00 @ 92.70,"55,620.00",6,"9,270.00",0.0,-4.7219999999999995,100,SPX,12/17/21,4300.0,CALL,127928555
2021-01-27T12:28:40-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 6 SPX 12/17/21 Call 4300.00 @ 82.31,"49,386.00",6,"8,231.00",0.0,-4.7219999999999995,100,SPX,12/17/21,4300.0,CALL,126366493
2021-01-27T12:17:53-0500,Trade,SELL_TO_CLOSE,SPX   211217C04400000,Equity Option,Sold 5 SPX 12/17/21 Call 4400.00 @ 59.11,"29,555.00",5,"5,911.00",0.0,-3.94,100,SPX,12/17/21,4400.0,CALL,126358383
2021-01-20T15:23:52-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 1 SPX 12/17/21 Call 4300.00 @ 79.66,"7,966.00",1,"7,966.00",0.0,-0.792,100,SPX,12/17/21,4300.0,CALL,124762703
2021-01-20T15:15:06-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 3 SPX 12/17/21 Call 4300.00 @ 79.12,"23,736.00",3,"7,912.00",0.0,-2.366,100,SPX,12/17/21,4300.0,CALL,124758387
2021-01-08T14:28:12-0500,Trade,BUY_TO_OPEN,SPX   211217C04400000,Equity Option,Bought 5 SPX 12/17/21 Call 4400.00 @ 46.44,"-23,220.00",5,"-4,644.00",-5.0,-3.93,100,SPX,12/17/21,4400.0,CALL,122591609
2021-01-07T12:13:57-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 2 SPX 12/17/21 Call 4300.00 @ 65.00,"13,000.00",2,"6,500.00",0.0,-1.574,100,SPX,12/17/21,4300.0,CALL,122250862
2021-01-06T14:25:41-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 1 SPX 12/17/21 Call 4300.00 @ 56.00,"-5,600.00",1,"-5,600.00",-1.0,-0.79,100,SPX,12/17/21,4300.0,CALL,121968478
2021-01-06T12:48:42-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 10 SPX 12/17/21 Call 4300.00 @ 57.05,"-57,050.00",10,"-5,705.00",-10.0,-7.86,100,SPX,12/17/21,4300.0,CALL,121965617
2021-01-06T12:35:53-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 3 SPX 12/17/21 Call 4300.00 @ 57.00,"-17,100.00",3,"-5,700.00",-3.0,-2.36,100,SPX,12/17/21,4300.0,CALL,121959191
2021-01-06T12:26:15-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 10 SPX 12/17/21 Call 4300.00 @ 55.99,"-55,990.00",10,"-5,599.00",-10.0,-7.86,100,SPX,12/17/21,4300.0,CALL,121953763
2021-01-06T12:23:54-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 10 SPX 12/17/21 Call 4300.00 @ 56.26,"-56,260.00",10,"-5,626.00",-10.0,-7.86,100,SPX,12/17/21,4300.0,CALL,121951038
2021-01-06T12:16:51-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 30 SPX 12/17/21 Call 4300.00 @ 55.94,"-167,820.00",30,"-5,594.00",-30.0,-23.57,100,SPX,12/17/21,4300.0,CALL,121944852
